,location,date,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million
0,Algeria,2020-07-17,62.0,1.39,,,,,,
1,Algeria,2020-07-18,67.0,1.502,,,,,,
2,Algeria,2020-07-20,64.0,1.434,,,,,,
3,Algeria,2020-07-21,56.0,1.255,,,,,,
4,Algeria,2020-07-22,51.0,1.143,,,,,,
5,Algeria,2020-07-23,66.0,1.479,,,,,,
6,Algeria,2020-07-25,63.0,1.412,,,,,,
7,Algeria,2020-07-26,64.0,1.434,,,,,,
8,Algeria,2020-07-27,58.0,1.3,,,,,,
9,Algeria,2020-07-31,65.0,1.457,,,,,,
10,Algeria,2020-08-01,64.0,1.434,,,,,,
11,Algeria,2020-08-02,54.0,1.21,,,,,,
12,Algeria,2020-08-04,54.0,1.21,,,,,,
13,Algeria,2020-08-05,55.0,1.233,,,,,,
14,Algeria,2020-08-06,63.0,1.412,,,,,,
15,Algeria,2020-08-09,57.0,1.278,,,,,,
16,Algeria,2020-08-10,47.0,1.053,,,,,,
17,Algeria,2020-08-12,53.0,1.188,,,,,,
18,Algeria,2020-08-13,44.0,0.986,,,,,,
19,Algeria,2020-08-14,46.0,1.031,,,,,,
20,Algeria,2020-08-15,37.0,0.829,,,,,,
21,Algeria,2020-08-16,40.0,0.897,,,,,,
22,Algeria,2020-08-17,40.0,0.897,,,,,,
23,Algeria,2020-08-18,46.0,1.031,,,,,,
24,Algeria,2020-08-19,44.0,0.986,,,,,,
25,Algeria,2020-08-20,41.0,0.919,,,,,,
26,Algeria,2020-08-21,41.0,0.919,,,,,,
27,Algeria,2020-08-22,49.0,1.098,,,,,,
28,Algeria,2020-08-23,41.0,0.919,,,,,,
29,Algeria,2020-08-24,37.0,0.829,,,,,,
30,Algeria,2020-08-25,31.0,0.695,,,,,,
31,Algeria,2020-08-26,28.0,0.628,,,,,,
32,Algeria,2020-08-27,28.0,0.628,,,,,,
33,Algeria,2020-08-28,31.0,0.695,,,,,,
