,location,date,people_fully_vaccinated,people_fully_vaccinated_per_hundred,people_partly_vaccinated,people_partly_vaccinated_per_hundred
0,Afghanistan,2021-05-11,55624.0,0.14,393254.0,0.9871966230662816
1,Afghanistan,2021-05-20,77560.0,0.19,392781.0,0.9860092378071098
2,Afghanistan,2021-05-24,96910.0,0.24,379457.0,0.9525616242908198
3,Afghanistan,2021-05-26,111082.0,0.28,368290.0,0.9245287887957423
4,Afghanistan,2021-05-27,113739.0,0.29,365835.0,0.918365932957969
5,Afghanistan,2021-05-30,119926.0,0.3,360300.0,0.9044712661302396
6,Afghanistan,2021-06-02,144600.0,0.36,337090.0,0.8462065475987857
7,Afghanistan,2021-06-03,148505.0,0.37,333295.0,0.8366798519147327
8,Afghanistan,2021-06-08,158343.0,0.4,324609.0,0.8148751407917595
9,Afghanistan,2021-06-14,177266.0,0.44,307471.0,0.7718531353547902
10,Afghanistan,2021-06-22,183762.0,0.46,398366.0,1.0000294210470138
11,Afghanistan,2021-06-27,186260.0,0.47,463174.0,1.1627187738512563
12,Afghanistan,2021-06-30,187654.0,0.47,511546.0,1.284148371645461
13,Afghanistan,2021-07-05,189322.0,0.48,537027.0,1.3481140456178855
14,Afghanistan,2021-07-07,199250.0,0.5,535963.0,1.34544305636681
15,Afghanistan,2021-07-11,219159.0,0.55,523775.0,1.314847175735127
16,Afghanistan,2021-08-20,430744.0,1.08,339798.0,0.8530045164821625
17,Afghanistan,2021-11-14,3188609.0,8.0,341564.0,0.8574377561601698
18,Afghanistan,2021-12-27,3753224.0,9.42,389633.0,0.9781067244965963
19,Afghanistan,2022-01-09,3809353.0,9.56,549217.0,1.3787149469060556
20,Afghanistan,2022-01-11,3814837.0,9.58,563981.0,1.4157774330929744
21,Afghanistan,2022-01-13,3823786.0,9.6,582111.0,1.461289684147488
22,Afghanistan,2022-01-17,3832821.0,9.62,600105.0,1.5064605305608867
23,Afghanistan,2022-01-19,3836731.0,9.63,613480.0,1.5400361708175947
24,Afghanistan,2022-01-24,3851307.0,9.67,635220.0,1.5946107068311153
25,Afghanistan,2022-01-26,3866279.0,9.71,645093.0,1.6193951775791138
26,Afghanistan,2022-01-27,3868832.0,9.71,648548.0,1.6280683616603793
27,Afghanistan,2022-01-31,3892831.0,9.77,661817.0,1.6613779071232773
