,location,date,total_vaccinations_no_boosters,total_vaccinations_no_boosters_per_hundred,total_boosters,total_boosters_per_hundred
0,Afghanistan,2021-02-22,0.0,0.0,0.0,0.0
1,Afghanistan,2021-02-28,8200.0,0.02,0.0,0.0
2,Afghanistan,2021-03-16,54000.0,0.14,0.0,0.0
3,Afghanistan,2021-04-07,120000.0,0.3,0.0,0.0
4,Afghanistan,2021-04-22,240000.0,0.6,0.0,0.0
5,Afghanistan,2021-05-11,504502.0,1.27,0.0,0.0
6,Afghanistan,2021-05-20,547901.0,1.38,0.0,0.0
7,Afghanistan,2021-05-24,573277.0,1.44,0.0,0.0
8,Afghanistan,2021-05-26,590454.0,1.48,0.0,0.0
9,Afghanistan,2021-05-27,593313.0,1.49,0.0,0.0
10,Afghanistan,2021-05-30,600152.0,1.51,0.0,0.0
11,Afghanistan,2021-06-02,626290.0,1.57,0.0,0.0
12,Afghanistan,2021-06-03,630305.0,1.58,0.0,0.0
13,Afghanistan,2021-06-08,641295.0,1.61,0.0,0.0
14,Afghanistan,2021-06-14,662003.0,1.66,0.0,0.0
15,Afghanistan,2021-06-22,765890.0,1.92,0.0,0.0
16,Afghanistan,2021-06-27,835694.0,2.1,0.0,0.0
17,Afghanistan,2021-06-30,886854.0,2.23,0.0,0.0
18,Afghanistan,2021-07-05,915671.0,2.3,0.0,0.0
19,Afghanistan,2021-07-07,934463.0,2.35,0.0,0.0
20,Afghanistan,2021-07-11,962093.0,2.42,0.0,0.0
21,Afghanistan,2021-07-14,1024168.0,2.57,0.0,0.0
22,Afghanistan,2021-07-18,1094257.0,2.75,0.0,0.0
23,Afghanistan,2021-07-24,1171064.0,2.94,0.0,0.0
24,Afghanistan,2021-08-20,1201286.0,3.02,0.0,0.0
25,Afghanistan,2021-08-31,1979652.0,4.97,0.0,0.0
26,Afghanistan,2021-09-30,2369625.0,5.95,0.0,0.0
27,Afghanistan,2021-11-14,4018197.0,10.09,0.0,0.0
28,Afghanistan,2021-12-27,4674518.0,11.73,0.0,0.0
29,Afghanistan,2022-01-09,4903368.0,12.31,0.0,0.0
30,Afghanistan,2022-01-11,4925111.0,12.36,0.0,0.0
31,Afghanistan,2022-01-13,4954809.0,12.44,0.0,0.0
32,Afghanistan,2022-01-17,4985047.0,12.51,0.0,0.0
33,Afghanistan,2022-01-19,5004050.0,12.56,0.0,0.0
34,Afghanistan,2022-01-24,5046054.0,12.67,0.0,0.0
35,Afghanistan,2022-01-26,5074196.0,12.74,0.0,0.0
36,Afghanistan,2022-01-27,5081064.0,12.76,0.0,0.0
37,Afghanistan,2022-01-31,5125146.0,12.87,0.0,0.0
38,Africa,2021-01-09,0.0,0.0,0.0,0.0
39,Africa,2021-01-13,2000.0,0.0,0.0,0.0
40,Africa,2021-01-15,4000.0,0.0,0.0,0.0
41,Africa,2021-01-16,7000.0,0.0,0.0,0.0
42,Africa,2021-01-19,10976.0,0.0,0.0,0.0
43,Africa,2021-01-20,13163.0,0.0,0.0,0.0
44,Africa,2021-01-22,16890.0,0.0,0.0,0.0
45,Africa,2021-01-23,18353.0,0.0,0.0,0.0
46,Africa,2021-01-24,18353.0,0.0,0.0,0.0
47,Africa,2021-01-25,19889.0,0.0,0.0,0.0
48,Africa,2021-01-26,22712.0,0.0,0.0,0.0
49,Africa,2021-01-27,25587.0,0.0,0.0,0.0
50,Africa,2021-01-28,28779.0,0.0,0.0,0.0
51,Africa,2021-01-29,30861.0,0.0,0.0,0.0
52,Africa,2021-01-30,122206.0,0.01,0.0,0.0
53,Africa,2021-01-31,158206.0,0.01,0.0,0.0
54,Africa,2021-02-01,236712.0,0.02,0.0,0.0
55,Africa,2021-02-02,295127.0,0.02,0.0,0.0
56,Africa,2021-02-03,347149.0,0.03,0.0,0.0
57,Africa,2021-02-04,390474.0,0.03,0.0,0.0
58,Africa,2021-02-05,446986.0,0.03,0.0,0.0
59,Africa,2021-02-06,504800.0,0.04,0.0,0.0
60,Africa,2021-02-08,593502.0,0.04,0.0,0.0
61,Africa,2021-02-09,661263.0,0.05,0.0,0.0
62,Africa,2021-02-10,795836.0,0.06,0.0,0.0
63,Africa,2021-02-11,908796.0,0.07,0.0,0.0
64,Africa,2021-02-12,1165581.0,0.08,0.0,0.0
65,Africa,2021-02-13,1446178.0,0.11,0.0,0.0
66,Africa,2021-02-15,1766999.0,0.13,0.0,0.0
67,Africa,2021-02-16,1965819.0,0.14,0.0,0.0
68,Africa,2021-02-17,2147659.0,0.16,0.0,0.0
69,Africa,2021-02-18,2304003.0,0.17,0.0,0.0
70,Africa,2021-02-19,2514038.0,0.18,0.0,0.0
71,Africa,2021-02-20,2616970.0,0.19,0.0,0.0
72,Africa,2021-02-21,2623735.0,0.19,0.0,0.0
73,Africa,2021-02-22,2745898.0,0.2,0.0,0.0
74,Africa,2021-02-23,2854362.0,0.21,0.0,0.0
75,Africa,2021-02-24,3151789.0,0.23,0.0,0.0
76,Africa,2021-02-25,3435126.0,0.25,0.0,0.0
77,Africa,2021-02-26,3677781.0,0.27,0.0,0.0
78,Africa,2021-02-27,3866524.0,0.28,0.0,0.0
79,Africa,2021-02-28,3874251.0,0.28,0.0,0.0
80,Africa,2021-03-01,4092105.0,0.3,0.0,0.0
81,Africa,2021-03-02,4253030.0,0.31,0.0,0.0
82,Africa,2021-03-03,4424425.0,0.32,0.0,0.0
83,Africa,2021-03-04,4570416.0,0.33,0.0,0.0
84,Africa,2021-03-05,4808377.0,0.35,0.0,0.0
85,Africa,2021-03-06,5013434.0,0.37,0.0,0.0
86,Africa,2021-03-07,5054444.0,0.37,0.0,0.0
87,Africa,2021-03-08,5402720.0,0.39,0.0,0.0
88,Africa,2021-03-09,5543143.0,0.4,0.0,0.0
89,Africa,2021-03-10,5883345.0,0.43,0.0,0.0
90,Africa,2021-03-11,6071753.0,0.44,0.0,0.0
91,Africa,2021-03-12,6381772.0,0.46,0.0,0.0
92,Africa,2021-03-13,6785420.0,0.49,0.0,0.0
93,Africa,2021-03-14,6801943.0,0.5,0.0,0.0
94,Africa,2021-03-15,7194978.0,0.52,0.0,0.0
95,Africa,2021-03-16,7430457.0,0.54,0.0,0.0
96,Africa,2021-03-17,7632156.0,0.56,0.0,0.0
97,Africa,2021-03-18,7819596.0,0.57,0.0,0.0
